model_id,suite,n_episodes,saw_injection,attempted_attacker_action,flagged_in_reply
gpt-4o-mini,banking,144,0.8472222222222222,0.5416666666666666,0.027777777777777776
gpt-5-mini,banking,144,0.9375,0.006944444444444444,0.5486111111111112
