environment,variant,n_tasks,HAR,valid_accept,missed_opportunity,regret,accept_rate,mean_radius
DealOrNoDeal,full method,1273,0.056402199528672425,0.3519245875883739,0.373134328358209,0.01021209740769835,0.40832678711704634,0.01989990954602133
DealOrNoDeal,- state uncertainty,1273,0.056402199528672425,0.3519245875883739,0.373134328358209,0.01021209740769835,0.40832678711704634,0.01788561243366845
DealOrNoDeal,- contract canonicalization,1273,0.056402199528672425,0.3519245875883739,0.373134328358209,0.01021209740769835,0.40832678711704634,0.01989990954602133
DealOrNoDeal,- urgency decoupling,1273,0.056402199528672425,0.3519245875883739,0.373134328358209,0.01021209740769835,0.40832678711704634,0.01989990954602133
DealOrNoDeal,fixed epsilon,1273,0.056402199528672425,0.3519245875883739,0.373134328358209,0.01021209740769835,0.40832678711704634,0.030000000000000006
DealOrNoDeal,evidence uninformative,1273,0.056402199528672425,0.3519245875883739,0.373134328358209,0.01021209740769835,0.40832678711704634,0.01989990954602133
DealOrNoDeal,matched-mean fixed radius,1273,0.056402199528672425,0.3519245875883739,0.373134328358209,0.01021209740769835,0.40832678711704634,0.01989990954602133
AmazonHistoryPrice,full method,463,0.0120333230484418,0.6800370256093798,0.0154273372415921,0.0007731930915092,0.6920703486578217,0.0285127248448325
AmazonHistoryPrice,- state uncertainty,463,0.0120333230484418,0.6800370256093798,0.0154273372415921,0.0007731930915092,0.6920703486578217,0.0274294419485563
AmazonHistoryPrice,- contract canonicalization,463,0.042887997531626,0.6880592409750077,0.0074051218759642,0.0039617317218525,0.7309472385066338,0.0285127248448325
AmazonHistoryPrice,- urgency decoupling,463,0.0120333230484418,0.6800370256093798,0.0154273372415921,0.0007731930915092,0.6920703486578217,0.0285127248448325
AmazonHistoryPrice,fixed epsilon,463,0.0145016970070965,0.6772601049058933,0.0182042579450786,0.0009989409139983,0.6917618019129899,0.03
AmazonHistoryPrice,evidence uninformative,463,0.0314717679728478,0.6683122493057698,0.027152113545202,0.0027507555797141,0.6997840172786177,0.0482197345267688
AmazonHistoryPrice,matched-mean fixed radius,463,0.0148102437519284,0.6775686516507251,0.0178957112002468,0.0009974878385948,0.6923788954026535,0.0285127248448325
