environment,variant,n_tasks,HAR,valid_accept,missed_opportunity,regret,accept_rate,mean_radius
AmazonHistoryPrice,full method,463,0.01203332304844184,0.6800370256093798,0.015427337241592102,0.0007731930915092801,0.6920703486578217,0.028512724844832568
AmazonHistoryPrice,- state uncertainty,463,0.01203332304844184,0.6800370256093798,0.015427337241592102,0.0007731930915092801,0.6920703486578217,0.02742944194855639
AmazonHistoryPrice,- contract canonicalization,463,0.04288799753162604,0.6880592409750077,0.007405121875964209,0.003961731721852574,0.7309472385066338,0.028512724844832568
AmazonHistoryPrice,- urgency decoupling,463,0.01203332304844184,0.6800370256093798,0.015427337241592102,0.0007731930915092801,0.6920703486578217,0.028512724844832568
AmazonHistoryPrice,fixed epsilon,463,0.014501697007096576,0.6772601049058933,0.01820425794507868,0.0009989409139983317,0.6917618019129899,0.03000000000000001
AmazonHistoryPrice,evidence uninformative,463,0.03147176797284788,0.6683122493057698,0.027152113545202097,0.0027507555797141843,0.6997840172786177,0.048219734526768844
AmazonHistoryPrice,matched-mean fixed radius,463,0.014810243751928418,0.6775686516507251,0.017895711200246838,0.0009974878385948425,0.6923788954026535,0.02851272484483258
