buyer_id,chosen_attacks,HAR_clean,HAR_static_combined,HAR_transfer,HAR_transfer_lo,HAR_transfer_hi,HAR_per_task_bound,HAR_per_task_bound_lo,HAR_per_task_bound_hi,transfer_minus_combined,p_value
oracle,"combined,temporal_pressure",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
verify_then_decide,"selective_disclosure,state_misrepresentation,temporal_pressure",0.0,0.009980806142034549,0.009596928982725527,0.006142034548944338,0.013435700575815739,0.011516314779270634,0.007677543186180422,0.015738963531669866,-0.00038387715930902113,1.0
robust_gate,"combined,state_misrepresentation,temporal_pressure",0.0,0.06602687140115163,0.08291746641074856,0.07293666026871401,0.09366602687140115,0.10441458733205375,0.09289827255278311,0.11594049904030705,0.01689059500959693,0.0
conservative,"combined,state_misrepresentation,temporal_pressure",0.0,0.12514395393474087,0.12476007677543186,0.11209213051823416,0.13742802303262955,0.13358925143953934,0.12092130518234165,0.1470249520153551,-0.00038387715930902113,1.0
dro_fixed,combined,0.0,0.3074856046065259,0.3074856046065259,0.2894433781190019,0.3251439539347409,0.3074856046065259,0.2894433781190019,0.3251439539347409,0.0,1.0
claimed_eu,combined,0.0,0.32629558541266795,0.32629558541266795,0.3074856046065259,0.34472168905950096,0.32629558541266795,0.3074856046065259,0.34472168905950096,0.0,1.0
