reference,other,metric,diff,ci_low,ci_high,p_value,n_tasks,reject_holm
llm_gate,claimed_eu,harmful_accept,-0.04951905949412183,-0.06840042750267188,-0.029925187032418945,0.0,401,True
llm_gate,claimed_eu,valid_accept,-0.11756323477021732,-0.1457071606697542,-0.08976665479159258,0.0,401,True
llm_gate,claimed_eu,regret_norm,0.005526713609013183,0.0013390778727084076,0.009903784323113644,0.0134,401,False
llm_gate,conservative,harmful_accept,0.016743854649091554,0.001425008906305666,0.033843961524759526,0.0444,401,False
llm_gate,conservative,valid_accept,-0.11613822586391165,-0.14321339508371927,-0.08870680441752761,0.0,401,True
llm_gate,conservative,regret_norm,0.013100152253295333,0.00933017453684806,0.017133426125693803,0.0,401,True
llm_gate,consistency_closed,harmful_accept,,,,,0,False
llm_gate,consistency_closed,valid_accept,,,,,0,False
llm_gate,consistency_closed,regret_norm,,,,,0,False
llm_gate,dro_fixed,harmful_accept,-0.035625222657641606,-0.0534378339864624,-0.01638760242251514,0.0004,401,True
llm_gate,dro_fixed,valid_accept,-0.10651941574634842,-0.1325258282864268,-0.08014784467402934,0.0,401,True
llm_gate,dro_fixed,regret_norm,0.006993307768364802,0.0028814874480192374,0.011342652093786959,0.0008,401,True
llm_gate,llm_direct,harmful_accept,-0.17598859992874955,-0.20484503028143922,-0.14747951549697197,0.0,401,True
llm_gate,llm_direct,valid_accept,0.05379408621303883,0.027787673672960454,0.08051300320627004,0.0004,401,True
llm_gate,llm_direct,regret_norm,-0.04517781384324903,-0.05194921247814481,-0.0384133995838493,0.0,401,True
llm_gate,llm_direct_deepseek,harmful_accept,-0.03296703296703297,-0.14848901098901096,0.07692307692307693,0.6588,26,False
llm_gate,llm_direct_deepseek,valid_accept,0.12637362637362637,0.02747252747252748,0.24739010989010793,0.041,26,False
llm_gate,llm_direct_deepseek,regret_norm,-0.026492572163736263,-0.04789611030770605,-0.007579087051662096,0.0164,26,False
llm_gate,llm_direct_devstral,harmful_accept,-0.005494505494505494,-0.0989010989010989,0.10439560439560439,1.0,26,False
llm_gate,llm_direct_devstral,valid_accept,0.09340659340659342,-0.010989010989010976,0.20329670329670332,0.1154,26,False
llm_gate,llm_direct_devstral,regret_norm,-0.025127036621428574,-0.04438334025449177,-0.006273444218159368,0.014,26,False
llm_gate,llm_direct_gemma4,harmful_accept,0.016483516483516484,-0.05494505494505494,0.10439560439560439,0.794,26,False
llm_gate,llm_direct_gemma4,valid_accept,0.03296703296703297,-0.04395604395604395,0.1263736263736264,0.5942,26,False
llm_gate,llm_direct_gemma4,regret_norm,-0.006252497721978023,-0.019769326342486265,0.005520936705494499,0.393,26,False
llm_gate,llm_direct_gpt4omini,harmful_accept,-0.05494505494505494,-0.1813186813186813,0.07692307692307693,0.4784,26,False
llm_gate,llm_direct_gpt4omini,valid_accept,0.13736263736263735,0.010989010989010986,0.28021978021978017,0.0664,26,False
llm_gate,llm_direct_gpt4omini,regret_norm,-0.052232614331868134,-0.09203310537501375,-0.01706688737527474,0.006,26,False
llm_gate,llm_direct_gpt5mini,harmful_accept,-0.016483516483516484,-0.0989010989010989,0.07142857142857142,0.8144,26,False
